Time,BC,BC post,car_line1,car_line2,car_line1_stop,truck_line1,truck_line2,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:06:30,659,689,4.0,0.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:06:40,818,689,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:06:50,711,689,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:00,595,689,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:10,542,689,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:20,811,689,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:30,712,690,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:40,637,690,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:07:50,804,690,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:00,585,690,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:10,712,690,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:20,571,610,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:30,779,610,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:40,574,610,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:08:50,530,610,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:00,787,610,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:10,420,610,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:20,793,583,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:30,562,583,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:40,495,583,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:09:50,615,583,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:00,474,583,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:10,556,583,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:20,526,595,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:30,592,595,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:40,829,595,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:10:50,416,595,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:00,787,595,0.0,2.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:10,422,595,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:20,556,529,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:30,429,529,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:40,451,529,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:11:50,690,529,3.0,0.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:00,406,529,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:10,548,529,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:20,625,529,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:30,443,520,2.0,0.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:40,533,520,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:12:50,368,520,2.0,0.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:00,579,520,1.0,1.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:10,360,520,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:20,600,520,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:30,504,520,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:40,769,520,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:13:50,493,675,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:00,349,675,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:10,-242,675,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:14:20,874,675,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
