Time,BC,BC post,car_line1,car_line3,truck_line2,car_line2,car_line1_stop,truck_line2_stop,truck_line3,truck_line1,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:34:50,510,720,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:00,710,747,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:10,586,747,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:20,657,747,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:30,819,747,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:40,605,747,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:50,1107,747,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:00,817,689,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:10,601,689,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:20,622,689,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:30,897,689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:40,336,689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:50,860,689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:00,738,940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:10,827,940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:20,104,940,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:30,2090,940,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:40,1202,1114,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:50,951,1114,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:00,1205,1114,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:10,1098,1114,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
