Time,BC,BC post,car_line1,car_line2,car_line1_stop,truck_line2,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-12 18:36:00,1428.0,1424.0,4.0,2.0,0.0,0.0,6.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:36:30,1420.0,1424.0,0.0,7.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:37:00,1160.0,1160.0,0.0,1.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:37:30,1384.0,1384.0,5.0,3.0,0.0,0.0,8.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:38:00,1116.0,1052.0,1.0,1.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:38:30,988.0,1052.0,1.0,0.0,1.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:39:00,1117.0,1089.0,3.0,6.0,0.0,0.0,9.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:39:30,1061.0,1089.0,1.0,3.0,1.0,0.0,5.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:40:00,1174.0,1174.0,3.0,1.0,1.0,0.0,5.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:40:30,1193.0,1193.0,2.0,2.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:41:00,1083.0,1085.0,1.0,0.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:41:30,1086.0,1085.0,4.0,0.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:42:00,1066.0,1008.0,4.0,0.0,0.0,1.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:42:30,950.0,1008.0,2.0,0.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:43:00,870.0,909.0,3.0,2.0,0.0,0.0,5.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:43:30,947.0,909.0,0.0,0.0,0.0,0.0,0.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:44:00,847.0,806.0,3.0,1.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:44:30,764.0,806.0,5.0,4.0,0.0,0.0,9.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:45:00,872.0,901.0,1.0,0.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:45:30,929.0,901.0,1.0,4.0,0.0,0.0,5.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:46:00,1019.0,949.0,3.0,1.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:46:30,879.0,949.0,6.0,1.0,1.0,0.0,8.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:47:00,970.0,989.0,6.0,1.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:47:30,1008.0,989.0,1.0,1.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:48:00,870.0,944.0,1.0,3.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:48:30,1018.0,944.0,2.0,2.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:49:00,1111.0,1162.0,2.0,0.0,1.0,0.0,3.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 18:49:30,1212.0,1162.0,6.0,3.0,0.0,1.0,9.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
