Time,BC,BC post,car_line1,car_line2,car_line1_stop,car_line2_stop,truck_line2,truck_line1,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-12 18:59:30,769.0,723.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:00:00,625.0,591.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:00:30,557.0,591.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:01:00,642.0,603.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:01:30,563.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:02:00,549.0,578.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:02:30,553.0,578.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:03:00,633.0,578.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:03:30,551.0,578.0,3.0,4.0,0.0,0.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:04:00,604.0,578.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:04:30,507.0,470.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:05:00,524.0,470.0,7.0,5.0,0.0,0.0,0.0,0.0,12.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:05:30,379.0,470.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:06:00,523.0,518.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:06:30,527.0,518.0,5.0,6.0,0.0,0.0,0.0,0.0,11.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:07:00,504.0,518.0,2.0,3.0,0.0,1.0,0.0,0.0,5.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:07:30,516.0,491.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:08:00,460.0,491.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:08:30,498.0,491.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:09:00,939.0,956.0,3.0,4.0,0.0,0.0,0.0,1.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:09:30,973.0,956.0,6.0,5.0,0.0,0.0,0.0,1.0,11.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:10:00,623.0,586.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:10:30,548.0,586.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:11:00,538.0,467.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:11:30,468.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:12:00,395.0,467.0,3.0,6.0,0.0,1.0,0.0,0.0,9.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:12:30,314.0,343.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:13:00,414.0,343.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.95,4.1,6.3,66.0,3.1,8.0,63.0
