Time,BC,BC post,car_line1,car_line2,car_line3,car_line3_stop,car_line1_stop,car_line2_stop,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-12 19:25:30,312.0,295.0,5.0,2.0,18.0,1.0,0.0,0.0,7.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:26:00,311.0,295.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:26:30,276.0,256.0,2.0,3.0,3.0,0.0,2.0,1.0,7.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:27:00,271.0,256.0,3.0,4.0,14.0,0.0,2.0,2.0,9.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:27:30,185.0,256.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:28:00,205.0,256.0,2.0,3.0,4.0,0.0,0.0,1.0,5.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:28:30,345.0,256.0,3.0,2.0,5.0,1.0,2.0,0.0,7.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:29:00,306.0,229.0,2.0,0.0,5.0,1.0,2.0,1.0,4.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:29:30,274.0,229.0,5.0,4.0,10.0,2.0,2.0,1.0,11.0,0.9,4.1,6.3,66.0,3.1,8.0,63.0
2024-11-12 19:30:00,93.0,229.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:30:30,136.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:31:00,336.0,229.0,6.0,4.0,6.0,0.0,0.0,0.0,10.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:31:30,513.0,313.0,2.0,3.0,2.0,0.0,2.0,0.0,7.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:32:00,208.0,313.0,2.0,0.0,3.0,0.0,2.0,0.0,4.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:32:30,272.0,313.0,5.0,2.0,7.0,0.0,2.0,1.0,9.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:33:00,259.0,313.0,2.0,3.0,5.0,0.0,2.0,1.0,7.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:33:30,97.0,255.0,2.0,1.0,7.0,0.0,2.0,1.0,5.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:34:00,387.0,255.0,8.0,1.0,7.0,2.0,0.0,0.0,9.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:34:30,226.0,255.0,0.0,2.0,6.0,2.0,1.0,0.0,3.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:35:00,264.0,255.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:35:30,300.0,255.0,4.0,2.0,6.0,3.0,0.0,0.0,6.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:36:00,601.0,413.0,2.0,0.0,4.0,2.0,2.0,1.0,4.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:36:30,310.0,413.0,5.0,1.0,4.0,1.0,2.0,1.0,8.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:37:00,327.0,413.0,4.0,4.0,5.0,0.0,0.0,0.0,8.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:37:30,314.0,236.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:38:00,259.0,236.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:38:30,131.0,236.0,3.0,4.0,3.0,1.0,2.0,1.0,9.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:39:00,212.0,236.0,2.0,1.0,4.0,0.0,2.0,1.0,5.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:39:30,262.0,236.0,5.0,2.0,6.0,0.0,3.0,1.0,10.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:40:00,174.0,242.0,3.0,1.0,6.0,1.0,2.0,0.0,6.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:40:30,362.0,242.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:41:00,268.0,242.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:41:30,199.0,242.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:42:00,100.0,242.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:42:30,351.0,242.0,9.0,2.0,7.0,0.0,1.0,0.0,12.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:43:00,135.0,228.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
2024-11-12 19:43:30,162.0,228.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,0.9,3.4,4.9,69.0,2.4,8.9,68.0
