Time,BC,BC post,car_line1,car_line3,truck_line2,car_line2,car_line1_stop,truck_line2_stop,truck_line3,truck_line1,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:34:50,1202,1114,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:00,951,1114,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:10,1205,1114,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:20,1098,1114,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:30,810,961,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:40,1142,961,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:35:50,960,961,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:00,933,961,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:10,851,656,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:20,579,656,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:30,730,656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:40,415,656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:36:50,720,656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:00,643,656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:10,796,1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:20,1197,1201,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:30,1609,1201,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:40,1447,1435,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:37:50,1289,1435,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:00,1568,1435,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:10,1113,987,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:20,832,987,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:30,885,987,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:40,1118,987,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:38:50,1295,1342,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:39:00,1581,1342,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:39:10,1149,1342,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:39:20,967,847,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
2024-11-05 17:39:30,764,847,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.65,19.1,24.5,67.0,18.7,9.9,68.0
